epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,2603.5,1.27352,0.97589,1.15461,0.61564,0.86343,0.79823,0.51457,1.34729,1.02645,1.28135,0.00769825,0.00769825,0.00769825
95,2632.95,1.28477,0.97208,1.16637,0.62711,0.876,0.79544,0.51282,1.34373,0.9709,1.27269,0.0076735,0.0076735,0.0076735
96,2661.41,1.26348,0.9754,1.15876,0.64477,0.85152,0.7969,0.51087,1.33399,0.94597,1.26616,0.00764875,0.00764875,0.00764875
97,2690.81,1.26188,0.97211,1.1609,0.64049,0.83594,0.80489,0.5181,1.33227,0.94931,1.26782,0.007624,0.007624,0.007624
98,2719.15,1.26965,0.98116,1.16111,0.63811,0.82775,0.78754,0.50747,1.34038,0.98431,1.27807,0.00759925,0.00759925,0.00759925
99,2748.06,1.25069,0.96093,1.16152,0.64943,0.82385,0.80639,0.51569,1.34334,0.9712,1.27344,0.0075745,0.0075745,0.0075745
100,2776.32,1.2648,0.97305,1.15519,0.62236,0.88385,0.7996,0.51621,1.33687,0.97336,1.27339,0.00754975,0.00754975,0.00754975
101,2805.53,1.2739,0.96556,1.15557,0.65989,0.84582,0.81986,0.52815,1.33862,0.95352,1.27356,0.007525,0.007525,0.007525
102,2834.48,1.2622,0.9701,1.14387,0.61562,0.88897,0.80031,0.51288,1.35315,0.97646,1.28219,0.00750025,0.00750025,0.00750025
103,2866.16,1.25678,0.94974,1.15111,0.66431,0.82691,0.80547,0.52317,1.33638,0.94736,1.271,0.0074755,0.0074755,0.0074755
104,2894.41,1.25888,0.9558,1.16071,0.6522,0.84494,0.80917,0.519,1.33542,0.97927,1.2659,0.00745075,0.00745075,0.00745075
105,2921.41,1.26514,0.94631,1.15713,0.65452,0.84198,0.79749,0.50631,1.34497,0.97117,1.27046,0.007426,0.007426,0.007426
106,2948.51,1.24281,0.95488,1.15849,0.66747,0.81849,0.80274,0.51381,1.35404,0.94447,1.27187,0.00740125,0.00740125,0.00740125
107,2975.53,1.2724,0.95884,1.17727,0.63372,0.81568,0.79734,0.51505,1.34207,0.9727,1.26732,0.0073765,0.0073765,0.0073765
108,3002.66,1.27078,0.94209,1.15784,0.67168,0.8256,0.80014,0.51231,1.3509,0.95845,1.27472,0.00735175,0.00735175,0.00735175
109,3030.12,1.24997,0.95428,1.14684,0.64221,0.8487,0.80348,0.51761,1.35014,0.95696,1.27542,0.007327,0.007327,0.007327
110,3057.32,1.24722,0.94175,1.1521,0.66441,0.83725,0.81467,0.5273,1.34491,0.96415,1.27294,0.00730225,0.00730225,0.00730225
111,3084.5,1.23898,0.9439,1.15463,0.65928,0.81992,0.8048,0.51481,1.35164,0.96003,1.27471,0.0072775,0.0072775,0.0072775
112,3111.34,1.26403,0.9516,1.15923,0.66888,0.8145,0.80328,0.51959,1.34974,0.97715,1.27556,0.00725275,0.00725275,0.00725275
113,3138.78,1.22779,0.92169,1.13696,0.62348,0.88618,0.81259,0.52555,1.32303,0.93036,1.25721,0.007228,0.007228,0.007228
114,3165.8,1.25454,0.92239,1.1531,0.65791,0.82838,0.81691,0.52441,1.34786,0.93405,1.27034,0.00720325,0.00720325,0.00720325
115,3192.68,1.24675,0.92852,1.15394,0.67274,0.79329,0.8075,0.52717,1.34361,0.96277,1.27615,0.0071785,0.0071785,0.0071785
116,3219.82,1.24661,0.93476,1.15281,0.63491,0.84409,0.81952,0.52692,1.3476,0.94108,1.27652,0.00715375,0.00715375,0.00715375
117,3246.98,1.23407,0.93485,1.1516,0.657,0.809,0.81642,0.52073,1.35191,1.00171,1.27969,0.007129,0.007129,0.007129
118,3273.94,1.24438,0.93877,1.14562,0.68243,0.80213,0.822,0.52491,1.32877,0.92698,1.26727,0.00710425,0.00710425,0.00710425
119,3301.02,1.23955,0.92396,1.14809,0.65535,0.85078,0.81249,0.5222,1.3452,0.95065,1.27573,0.0070795,0.0070795,0.0070795
120,3327.98,1.24527,0.94198,1.15457,0.67694,0.81989,0.82105,0.52765,1.35154,0.92409,1.28016,0.00705475,0.00705475,0.00705475
121,3355.24,1.23393,0.92979,1.1464,0.65771,0.85174,0.80914,0.52372,1.31965,0.94115,1.2709,0.00703,0.00703,0.00703
122,3382.36,1.23569,0.92486,1.15147,0.66058,0.82402,0.80145,0.51357,1.34583,0.95696,1.27338,0.00700525,0.00700525,0.00700525
123,3409.47,1.22182,0.91072,1.14824,0.64718,0.84672,0.80879,0.52206,1.33018,0.94631,1.26925,0.0069805,0.0069805,0.0069805
124,3436.63,1.22908,0.9244,1.14938,0.67231,0.81074,0.80879,0.52056,1.33714,0.94503,1.27038,0.00695575,0.00695575,0.00695575
125,3463.77,1.22575,0.91432,1.15204,0.66556,0.84071,0.81767,0.5276,1.3407,0.92552,1.27029,0.006931,0.006931,0.006931
126,3490.74,1.22465,0.91118,1.13895,0.66365,0.84393,0.81859,0.53146,1.32831,0.95097,1.26942,0.00690625,0.00690625,0.00690625
127,3517.85,1.21735,0.90832,1.14197,0.63527,0.85797,0.79666,0.50889,1.34225,0.94116,1.27417,0.0068815,0.0068815,0.0068815
128,3544.93,1.22694,0.91283,1.13912,0.67073,0.80096,0.80564,0.51619,1.35039,0.94979,1.27711,0.00685675,0.00685675,0.00685675
129,3572.21,1.22305,0.90859,1.1426,0.66032,0.83559,0.80959,0.5194,1.36162,0.95127,1.28042,0.006832,0.006832,0.006832
130,3599.46,1.21091,0.9191,1.12696,0.66257,0.81915,0.81292,0.51853,1.35442,0.9554,1.28148,0.00680725,0.00680725,0.00680725
131,3626.54,1.23377,0.90058,1.14981,0.64746,0.84855,0.81305,0.52591,1.338,0.95148,1.27697,0.0067825,0.0067825,0.0067825
132,3653.72,1.20068,0.90238,1.12838,0.67258,0.81598,0.81699,0.52441,1.33442,0.92847,1.26594,0.00675775,0.00675775,0.00675775
133,3680.59,1.22574,0.90628,1.14558,0.64626,0.83849,0.81587,0.52168,1.35311,0.94606,1.27523,0.006733,0.006733,0.006733
134,3707.67,1.22043,0.91008,1.13224,0.65957,0.8307,0.81321,0.51544,1.38225,0.96171,1.29013,0.00670825,0.00670825,0.00670825
135,3734.79,1.21515,0.91378,1.13054,0.66781,0.81558,0.80342,0.5089,1.3752,0.97241,1.28516,0.0066835,0.0066835,0.0066835
136,3762,1.21536,0.899,1.1315,0.68579,0.79485,0.80513,0.51604,1.3629,0.9681,1.28135,0.00665875,0.00665875,0.00665875
137,3789.02,1.22813,0.89185,1.14946,0.65178,0.81912,0.80759,0.52168,1.34913,0.93161,1.27174,0.006634,0.006634,0.006634
138,3816.21,1.21106,0.89776,1.13758,0.66319,0.82375,0.80421,0.51843,1.34602,0.94423,1.27555,0.00660925,0.00660925,0.00660925
139,3843.49,1.21932,0.89192,1.13754,0.66033,0.82563,0.80706,0.51662,1.35773,0.94376,1.28362,0.0065845,0.0065845,0.0065845
140,3870.59,1.20651,0.89036,1.12547,0.65105,0.83813,0.80972,0.52223,1.33254,0.94572,1.26698,0.00655975,0.00655975,0.00655975
141,3897.54,1.20487,0.91674,1.13501,0.63613,0.85916,0.80936,0.51939,1.35028,0.92953,1.27902,0.006535,0.006535,0.006535
142,3924.58,1.21895,0.87918,1.14383,0.64644,0.8641,0.82193,0.52818,1.35147,0.9429,1.27613,0.00651025,0.00651025,0.00651025
143,3951.76,1.20637,0.90044,1.12953,0.66509,0.81645,0.81678,0.52671,1.34499,0.92718,1.28094,0.0064855,0.0064855,0.0064855
144,3978.93,1.21172,0.89501,1.13302,0.66864,0.82466,0.81205,0.51887,1.34365,0.94754,1.27007,0.00646075,0.00646075,0.00646075
